Hierarchy,Identification,Name,Quantity,Unit,Value
1,A.01.01.a,OPERAIO 4° LIVELLO da 0 a 1000 m s.l.m.,1,h,33.42
1,A.01.01.b,OPERAIO 4° LIVELLO da 1001 a 1300 m s.l.m.,1,h,34.88
1,A.01.01.c,OPERAIO 4° LIVELLO da 1301 a 2000 m s.l.m.,1,h,36.5
1,A.01.01.d,OPERAIO 4° LIVELLO da 2000 in su s.l.m.,1,h,37.54
1,A.01.02.a,OPERAIO SPECIALIZZATO da 0 a 1000 m s.l.m.,1,h,31.67
1,A.01.02.b,OPERAIO SPECIALIZZATO da 1001 a 1300 m s.l.m.,1,h,33.05
1,A.01.02.c,OPERAIO SPECIALIZZATO da 1301 a 2000 m s.l.m.,1,h,34.59
1,A.01.02.d,OPERAIO SPECIALIZZATO da 2000 in su s.l.m.,1,h,35.57
1,A.01.03.a,OPERAIO QUALIFICATO da 0 a 1000 m s.l.m.,1,h,29.38
1,A.01.03.b,OPERAIO QUALIFICATO da 1001 a 1300 m s.l.m.,1,h,30.67
1,A.01.03.c,OPERAIO QUALIFICATO da 1301 a 2000 m s.l.m.,1,h,32.1
1,A.01.03.d,OPERAIO QUALIFICATO da 2000 in su s.l.m.,1,h,33.01
1,A.01.04.a,OPERAIO COMUNE da 0 a 1000 m s.l.m.,1,h,26.39
1,A.01.04.b,OPERAIO COMUNE da 1001 a 1300 m s.l.m.,1,h,27.54
1,A.01.04.c,OPERAIO COMUNE da 1301 a 2000 m s.l.m.,1,h,28.82
1,A.01.04.d,OPERAIO COMUNE da 2000 in su s.l.m.,1,h,29.64
1,A.02.02.a,OPERAIO SPECIALIZZATO da 0 a 1000 m s.l.m.,1,h,30.39
1,A.02.02.b,OPERAIO SPECIALIZZATO da 1001 a 1300 m s.l.m.,1,h,31.71
1,A.02.02.c,OPERAIO SPECIALIZZATO da 1301 a 2000 m s.l.m.,1,h,33.19
1,A.02.02.d,OPERAIO SPECIALIZZATO da 2000 in su s.l.m.,1,h,34.13
1,A.02.03.a,OPERAIO QUALIFICATO da 0 a 1000 m s.l.m.,1,h,28.31
1,A.02.03.b,OPERAIO QUALIFICATO da 1001 a 1300 m s.l.m.,1,h,29.54
1,A.02.03.c,OPERAIO QUALIFICATO da 1301 a 2000 m s.l.m.,1,h,30.92
1,A.02.03.d,OPERAIO QUALIFICATO da 2000 in su s.l.m.,1,h,31.8
1,A.03.01.00,SOMMOZZATORE COMPRESA ATTREZZATURA,1,h,68.75
1,A.03.02.a,MARINAIO CONDUCENTE,1,h,29.93
1,A.03.02.b,MARINAIO ASSISTENTE,1,h,25.45
1,A.04.02.a,OPERAIO SPECIALIZZATO da 0 a 1000 m s.l.m.,1,h,30.39
1,A.04.02.b,OPERAIO SPECIALIZZATO da 1001 a 1300 m s.l.m.,1,h,31.71
1,A.04.02.c,OPERAIO SPECIALIZZATO da 1301 a 2000 m s.l.m.,1,h,33.19
1,A.04.02.d,OPERAIO SPECIALIZZATO da 2000 in su s.l.m.,1,h,34.13
1,A.04.03.a,OPERAIO QUALIFICATO da 0 a 1000 m s.l.m.,1,h,28.31
1,A.04.03.b,OPERAIO QUALIFICATO da 1001 a 1300 m s.l.m.,1,h,29.54
1,A.04.03.c,OPERAIO QUALIFICATO da 1301 a 2000 m s.l.m.,1,h,30.92
1,A.04.03.d,OPERAIO QUALIFICATO da 2000 in su s.l.m.,1,h,31.8
1,A.05.02.a,OPERAIO SPECIALIZZATO da 0 a 1000 m s.l.m.,1,h,30.39
1,A.05.02.b,OPERAIO SPECIALIZZATO da 1001 a 1300 m s.l.m.,1,h,31.71
1,A.05.02.c,OPERAIO SPECIALIZZATO da 1301 a 2000 m s.l.m.,1,h,33.19
1,A.05.02.d,OPERAIO SPECIALIZZATO da 2000 in su s.l.m.,1,h,34.13
1,A.05.03.a,OPERAIO QUALIFICATO da 0 a 1000 m s.l.m.,1,h,28.31
1,A.05.03.b,OPERAIO QUALIFICATO da 1001 a 1300 m s.l.m.,1,h,29.54
1,A.05.03.c,OPERAIO QUALIFICATO da 1301 a 2000 m s.l.m.,1,h,30.92
1,A.05.03.d,OPERAIO QUALIFICATO da 2000 in su s.l.m.,1,h,31.8
1,A.06.01.00,OPERATORE DELLA VIABILITÁ,1,h,31.85
1,A.06.02.00,TECNICO SPECIALIZZATO,1,h,77.47
1,A.06.03.00,DIRIGENTE TECNICO B.C.M.,1,h,50
1,A.07.01.00,OPERAIO SPECIALIZZATO ROCCIATORE,1,h,43.66
1,A.08.01.00,TECNICO LAUREATO RESTAURATORE CON QUALIFICA DI RESTAURATORE INSERITO NELL’APPOSITO ELENCO ISTITUITO PRESSO IL MINISTERO DELLA CULTURA,1,h,43.65
1,A.08.02.00,TECNICO DIPLOMATO RESTAURATORE CON RUOLO DI ASSISTENTE CON QUALIFICA DI RESTAURATORE ED INSERITO NELL’APPOSTO ELENCO ISTITUITO PRESSO IL MINISTERO DELLA CULTURA,1,h,39.7
1,B.01.01.00,OSSIDO DI CALCIO,1,q,10.91
1,B.01.02.00,CEMENTO IN SACCHI TIPO 325,1,q,16.56
1,B.01.03.00,GESSO COMUNE,1,q,17.39
1,B.01.04.00,BENTONITE,1,q,20.96
1,B.01.05.00,AGGREGATO MINERALE,1,kg,0.16
1,B.01.06.00,AGGREGATO METALLICO,1,kg,1.6
1,B.01.07.00,AGGREGATO MINERALE AL QUARZO CORINDONE,1,kg,0.35
1,B.01.08.a,ADDITIVO SUPERFLUIDIFICANTE PER CALCESTRUZZO,1,l,4.5
1,B.01.08.b,RIGENERANTE BITUME ESISTENTE,1,kg,1.36
1,B.01.08.c,ATTIVANTE DI ADESIONE PER CONGLOMERATI BITUMINOSI,1,kg,2.32
1,B.01.08.d,IMPREGNANTE COSTITUITO DA SOLUZIONE DI SILICATI DI SODIO MODIFICATI BIOCHIMICAMENTE ECOLOGICO NON TOSSICO INCOLORE,1,l,13.8
1,B.01.08.e,IMPERMEABILIZZANTE CALCESTRUZZI - ADDITIVO PER CRISTALLIZZAZIONE DELLE STRUTTURE,1,kg,4.97
1,B.01.09.00,CEMENTO IN SACCHI TIPO 425,1,q,18.12
1,B.01.10.00,CEMENTO OSMOTICO,1,kg,0.97
1,B.02.01.a,SABBIA di cava lavata e vagliata,1,m³,21.91
1,B.02.01.b,SABBIA di cava pezzatura mm 0.2÷10,1,m³,21.68
1,B.02.01.c,SABBIA di fiume lavata e vagliata,1,m³,21.91
1,B.02.01.d,SABBIA sabbia silicea per sabbiatura e idrodemolizione,1,kg,0.66
1,B.02.01.e,SABBIA ghiaino lavato 3/6 mm,1,m³,19.4
1,B.02.01.f,SABBIA sabbia fine tipo ticino,1,kg,0.27
1,B.02.01.g,SABBIA sabbia di campo,1,m³,13.7
1,B.02.01.h,SABBIA sabbia di quarzo,1,kg,0.5
1,B.02.02.00,POLVERE DI MARMO IN SACCHI,1,kg,0.15
1,B.02.03.a,MISTO DI CAVA,1,m³,20.94
1,B.02.03.b,MISTO GRANULARE STABILIZZATO,1,m³,19.71
1,B.02.03.c,MISTO GHIAIONE DI FIUME LAVATO,1,m³,20.94
1,B.02.03.d,MISTO GHIAIA DI CAVA,1,m³,20.72
1,B.02.03.e,MISTO CIOTTOLI DI FIUME,1,ton,9.86
1,B.02.03.f,MISTO PIETRAME PER RIEMPIMENTO GABBIONATE TIPO TESTA DI CAVALLO,1,ton,9.86
1,B.02.03.g,MISTO PIETRAME PRIVO DI IMPURITA’ PER LA FORMAZIONE DI CANALETTE IN PIETRAME MISTO A LEGNAME,1,m³,17.64
1,B.02.03.h,MISTO TOUT VENANT DI CAVA O FIUME,1,m³,17.47
1,B.02.03.i,MISTO MATERIALE A2-6 O A2-7 CON PERMEABILITA’ SCARSA O NULLA PER LA FORMAZIONE DI RILEVATI SPONDALI E MODIFICA ARGINI,1,m³,10.08
1,B.02.03.l,"MISTO MATERIALE PROVENIENTE DA CAVA DI PRESTITO APPARTENENTE AI GRUPPI A1, A2-4, A2-5, A3, COMPRESA LA CAVATURA, L’INDENNITA’ DI CAVA, IL CARICO, IL TRASPORTO A QUALSIASI DISTANZA STRADALE E LO SCARICO DEL MATERIALE",1,m³,17.47
1,B.02.03.m,MISTO GHIAINO GRANULOMETRIA 7÷15 mm,1,m³,22.36
1,B.02.03.n,PIETRISCO PER DRENAGGI PEZZATURA 50 - 70 mm,1,m³,21.62
1,B.02.04.a,TERRA Terra sciolta,1,m³,18.48
1,B.02.04.b,TERRA Grezza da cava,1,m³,22.18
1,B.02.04.c,TERRA Ghiaietto e pietrischetto tipo macadam,1,m³,20.94
1,B.02.05.a,PIETRAME COMPATTO NON GELIVO Pezzatura da 10 a 50 kg,1,ton,11.21
1,B.02.05.b,PIETRAME COMPATTO NON GELIVO Pezzatura da 51 a 200 kg,1,ton,12.94
1,B.02.05.c,PIETRAME COMPATTO NON GELIVO Pezzatura da 201 a 500 kg,1,ton,13.13
1,B.02.05.cc,PIETRAME COMPATTO NON GELIVO Pezzatura da 350 a 800 kg,1,ton,13.25
1,B.02.05.ccc,PIETRAME COMPATTO NON GELIVO Pezzatura da 400 a 600 kg,1,ton,16.02
1,B.02.05.d,PIETRAME COMPATTO NON GELIVO massi in pietra naturale trachitica con faccia in vista bocciardata del peso tra i 20 e i 40 kg,1,m³,241.47
1,B.02.05.e,PIETRAME COMPATTO NON GELIVO massi in pietra calcarea per la formazione di scogliera a sagoma squadrata,1,ton,36.96
1,B.02.05.f,PIETRAME COMPATTO NON GELIVO Sassi calcarei scelti per muri a facciavista per muri tipo opera incerta,1,m³,61.72
1,B.02.05.g,PIETRAME COMPATTO NON GELIVO proveniente da cave di pietra granitica. Pezzatura da 50 kg per formazione di selciatone.,1,m³,67.64
1,B.02.05.h,PIETRAME COMPATTO NON GELIVO proveniente da cave di pietra porfirica. Pezzatura da 50 kg per formazione di selciatone.,1,m³,67.95
1,B.02.05.i,PIETRAME COMPATTO NON GELIVO proveniente da cave di pietra calcarea. Pezzatura da 50 kg per formazione di selciatone.,1,m³,66.53
1,B.02.05.l,PIETRAME COMPATTO NON GELIVO proveniente da cave di pietra porfirica per la formazione di paramenti facciavista per uno spessore minimo di 33 cm.,1,m³,88.7
1,B.02.05.m,PIETRAME COMPATTO NON GELIVO proveniente da cave di pietra granitica per la formazione di paramenti facciavista per uno spessore minimo di 33 cm.,1,m³,103.49
1,B.02.05.n,PIETRAME COMPATTO NON GELIVO proveniente da cave di pietra calcarea per la formazione di paramenti facciavista per uno spessore minimo di 33 cm.,1,m³,88.7
1,B.02.05.o,"PIETRAME COMPATTO NON GELIVO in massi ciclopici con pezzatura non inferiore a mc 0,80",1,ton,30.8
1,B.02.05.p,PIETRAME COMPATTO NON GELIVO in massi in pietra calcarea per la formazione di scogliera squadrata con 3 facce.,1,ton,43.12
1,B.02.05.q,MASSI DA SCOGLIERA DI PRIMA CATEGORIA (300÷1000 kg),1,t,25.53
1,B.02.05.r,MASSI DA SCOGLIERA DI SECONDA CATEGORIA (1001÷3000 kg),1,t,27.14
1,B.02.05.s,MASSI DA SCOGLIERA DI TERZA CATEGORIA (30001÷6000 kg),1,t,30.03
1,B.02.05.t,MASSI DA SCOGLIERA DI QUARTA CATEGORIA (6001÷10000 kg),1,t,42.1
1,B.02.05.u,PIETRAME COMPATTO NON GELIVO CON SPESSORE DA 25 cm - PROVENIENTE DA CAVE IN PIETRA PORFIRICA,1,m³,62.15
1,B.02.05.v,PIETRAME COMPATTO NON GELIVO CON SPESSORE DA 25 cm - PROVENIENTE DA CAVE IN PIETRA GRANITICA,1,m³,64
1,B.02.05.w,PIETRAME COMPATTO NON GELIVO CON SPESSORE DA 25 cm - PROVENIENTE DA CAVE IN PIETRA CALCAREA,1,m³,62.65
1,B.02.05.x,MASSI CALCAREI > 60kg,1,t,14.63
1,B.02.06.00,MATERIALE DA RILEVATO RICICLATO,1,m³,8.62
1,B.02.07.00,MATERIALE TOUT-VENANT RICICLATO,1,m³,9.24
1,B.02.08.00,MATERIALE GRANULARE STABILIZZATO RICICLATO,1,m³,13.31
1,B.02.09.00,SABBIA DI RICICLO,1,m³,11.09
1,B.02.10.00,MATERIALE DI FONDAZIONE CON SCORIE DI ALTOFORNO,1,m³,23.41
1,B.02.11.00,MISTO CEMENTATO,1,m³,45.98
1,B.02.12.00,ARGILLA ESPANSA GRANULOMETRIA 8÷20 mm,1,m³,136.3
1,B.03.01.a,CORDONATE DI TRACHITE RETTE sezione cm 10x20,1,m,33.99
1,B.03.01.b,CORDONATE DI TRACHITE RETTE sezione cm 12x20,1,m,37.54
1,B.03.01.c,CORDONATE DI TRACHITE RETTE sezione cm 15x20,1,m,41.65
1,B.03.02.a,CORDONATE DI TRACHITE CURVE sezione cm 10x20,1,m,130.35
1,B.03.02.b,CORDONATE DI TRACHITE CURVE sezione cm 12x20,1,m,146.65
1,B.03.02.c,CORDONATE DI TRACHITE CURVE sezione cm 15x20,1,m,162.94
1,B.03.03.a,CUBETTI IN PORFIDO spessore di circa 4/6 cm,1,m²,26.03
1,B.03.03.b,CUBETTI IN PORFIDO spessore di circa 6/8 cm,1,m²,35.07
1,B.03.03.c,CUBETTI IN PORFIDO spessore di circa 8/10 cm,1,m²,45.28
1,B.03.03.d,CUBETTI IN PORFIDO spessore di circa 10/12 cm,1,m²,45.28
1,B.03.03.e,CUBETTI IN PORFIDO spessore di circa 12/15 cm,1,m²,57.28
1,B.03.03.f,CUBETTI IN PORFIDO spessore di circa 14/18 cm,1,m²,72.62
1,B.03.03.g,CUBETTI IN PORFIDO Cubetti di marmo bianco di Carrara spessore di circa 4/6 cm,1,m²,35.43
1,B.03.03.h,CUBETTI IN PORFIDO Cubetti di marmo bianco di Carrara spessore di circa 6/8 cm,1,m²,47.3
1,B.03.03.i,CUBETTI IN PORFIDO Cubetti di marmo bianco di Carrara spessore di circa 8/10 cm,1,m²,57.36
1,B.03.04.a,SMOLLERI IN PORFIDO Per pavimentazioni,1,m²,31.02
1,B.03.04.b,SMOLLERI IN PORFIDO Per rivestimento,1,m²,32.14
1,B.03.05.a,"BINDERI IN PORFIDO aventi lunghezza di circa 15-30, larghezza di circa cm 10 e spessore 8/10 cm",1,m²,7.22
1,B.03.05.b,"BINDERI IN PORFIDO aventi lunghezza di circa 15-30, larghezza di circa cm 12 e spessore 10/150 cm",1,m²,10.55
1,B.03.05.c,"BINDERI IN PORFIDO aventi lunghezza di circa 20-40, larghezza di circa cm 12 e spessore 15/20 cm",1,m²,13.89
1,B.03.05.d,"BINDERI IN PORFIDO aventi lunghezza di circa 20-40, larghezza di circa cm 14 e spessore 15/20 cm",1,m²,13.89
1,B.03.05.e,"BINDERI IN PORFIDO lunghezza di circa 15-30, larghezza di circa 10 cm e spessore 4/6 cm su palette da 100 ml",1,m,5
1,B.03.05.f,"BINDERI IN PORFIDO lunghezza di circa 15-30, larghezza di circa 10 cm e spessore 5/8 cm su palette da 100 ml",1,m,5.56
